date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:32:28	0/0	---M--	301	error ('301')	text/html	date:Tue,%2007%20Jul%202020%2020:02:28%20GMT	https://www.constantcontact.com/about/contact-us	D:/My%20Web%20Sites/My/www.constantcontact.com/about/contact-us	(from https://www.constantcontact.com/website/builder?utm_source=customersites%26utm_medium%3Dbanner%26utm_campaign%3Dconstantcontact)
01:32:29	56058/56058	---M-Z	200	added ('OK')	text/html	etag:%221594152148%22	https://ir.endurance.com/	D:/My%20Web%20Sites/My/ir.endurance.com/index.html	(from https://www.constantcontact.com/website/builder?utm_source=customersites%26utm_medium%3Dbanner%26utm_campaign%3Dconstantcontact)
01:32:29	27977/27977	---MCZ	200	added ('OK')	text/html	date:Tue,%2007%20Jul%202020%2020:02:29%20GMT	https://news.constantcontact.com/	D:/My%20Web%20Sites/My/news.constantcontact.com/index.html	(from https://www.constantcontact.com/website/builder?utm_source=customersites%26utm_medium%3Dbanner%26utm_campaign%3Dconstantcontact)
01:32:29	0/0	---M--	302	error ('Found')	text/html	date:Tue,%2007%20Jul%202020%2020:02:29%20GMT	http://www.constantcontact.com/refer-a-friend	D:/My%20Web%20Sites/My/www.constantcontact.com/refer-a-friend.92.delayed	(from https://www.constantcontact.com/website/builder?utm_source=customersites%26utm_medium%3Dbanner%26utm_campaign%3Dconstantcontact)
01:32:30	79542/79542	---MCZ	200	added ('200')	text/html	date:Tue,%2007%20Jul%202020%2020:02:29%20GMT	https://www.constantcontact.com/in/about/contact-us	D:/My%20Web%20Sites/My/www.constantcontact.com/in/about/contact-us.html	(from https://www.constantcontact.com/website/builder?utm_source=customersites%26utm_medium%3Dbanner%26utm_campaign%3Dconstantcontact)
01:32:31	0/0	---M--	301	error ('301')	text/html	date:Tue,%2007%20Jul%202020%2020:02:31%20GMT	https://www.constantcontact.com/refer-a-friend	D:/My%20Web%20Sites/My/www.constantcontact.com/refer-a-friend	(from https://www.constantcontact.com/website/builder?utm_source=customersites%26utm_medium%3Dbanner%26utm_campaign%3Dconstantcontact)
01:32:33	1503/1503	---M-Z	200	added ('OK')	text/html	etag:%225df-52e5b399c4ec0;5288c149e3b80-gzip%22	http://www.w3.org/2000/svg	D:/My%20Web%20Sites/My/www.w3.org/2000/svg.html	(from https://www.constantcontact.com/website/builder?utm_source=customersites%26utm_medium%3Dbanner%26utm_campaign%3Dconstantcontact)
01:32:34	2054/2054	---M--	200	added ('OK')	text/html	date:Tue,%2007%20Jul%202020%2020:02:34%20GMT	http://privacy.truste.com/privacy-seal/validation?rid=e295bdb8-2205-4b5d-bdb2-78ff2021f349	D:/My%20Web%20Sites/My/privacy.truste.com/privacy-seal/validationb435.html	(from https://www.constantcontact.com/website/builder?utm_source=customersites%26utm_medium%3Dbanner%26utm_campaign%3Dconstantcontact)
01:32:34	45254/45254	---MCZ	200	added ('200')	text/html	date:Tue,%2007%20Jul%202020%2020:02:33%20GMT	https://www.constantcontact.com/in/refer-a-friend	D:/My%20Web%20Sites/My/www.constantcontact.com/in/refer-a-friend.html	(from https://www.constantcontact.com/website/builder?utm_source=customersites%26utm_medium%3Dbanner%26utm_campaign%3Dconstantcontact)
01:32:34	14370/14370	---M--	200	added ('OK')	image/svg+xml	etag:W/%2214370-1571742346000%22	https://privacy-policy.truste.com/privacy-seal/seal?rid=e295bdb8-2205-4b5d-bdb2-78ff2021f349	D:/My%20Web%20Sites/My/privacy-policy.truste.com/privacy-seal/sealb435.svg	(from https://www.constantcontact.com/website/builder?utm_source=customersites%26utm_medium%3Dbanner%26utm_campaign%3Dconstantcontact)
